country,tenor,cutoff_date,forecast_start,forecast_end,forecast_periods,avg_growth_forecast,avg_inflation_forecast,growth_forecast_std,inflation_forecast_std,first_year_growth,first_year_inflation
United States,yld_10yr,1990-07-01,1990-08-01,2000-07-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1990-07-01,1990-08-01,2020-07-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1990-08-01,1990-09-01,1992-08-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1990-08-01,1990-09-01,1995-08-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1990-08-01,1990-09-01,2000-08-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1990-08-01,1990-09-01,2020-08-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1990-09-01,1990-10-01,1992-09-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1990-09-01,1990-10-01,1995-09-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1990-09-01,1990-10-01,2000-09-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1990-09-01,1990-10-01,2020-09-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1990-10-01,1990-11-01,1992-10-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1990-10-01,1990-11-01,1995-10-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1990-10-01,1990-11-01,2000-10-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1990-10-01,1990-11-01,2020-10-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1990-11-01,1990-12-01,1992-11-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1990-11-01,1990-12-01,1995-11-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1990-11-01,1990-12-01,2000-11-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1990-11-01,1990-12-01,2020-11-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1990-12-01,1991-01-01,1992-12-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1990-12-01,1991-01-01,1995-12-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1990-12-01,1991-01-01,2000-12-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1990-12-01,1991-01-01,2020-12-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1991-01-01,1991-02-01,1993-01-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1991-01-01,1991-02-01,1996-01-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1991-01-01,1991-02-01,2001-01-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1991-01-01,1991-02-01,2021-01-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1991-02-01,1991-03-01,1993-02-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1991-02-01,1991-03-01,1996-02-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1991-02-01,1991-03-01,2001-02-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1991-02-01,1991-03-01,2021-02-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1991-03-01,1991-04-01,1993-03-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1991-03-01,1991-04-01,1996-03-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1991-03-01,1991-04-01,2001-03-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1991-03-01,1991-04-01,2021-03-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1991-04-01,1991-05-01,1993-04-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1991-04-01,1991-05-01,1996-04-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1991-04-01,1991-05-01,2001-04-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1991-04-01,1991-05-01,2021-04-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1991-05-01,1991-06-01,1993-05-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1991-05-01,1991-06-01,1996-05-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1991-05-01,1991-06-01,2001-05-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1991-05-01,1991-06-01,2021-05-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1991-06-01,1991-07-01,1993-06-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1991-06-01,1991-07-01,1996-06-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1991-06-01,1991-07-01,2001-06-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1991-06-01,1991-07-01,2021-06-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1991-07-01,1991-08-01,1993-07-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1991-07-01,1991-08-01,1996-07-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1991-07-01,1991-08-01,2001-07-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1991-07-01,1991-08-01,2021-07-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1991-08-01,1991-09-01,1993-08-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1991-08-01,1991-09-01,1996-08-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1991-08-01,1991-09-01,2001-08-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1991-08-01,1991-09-01,2021-08-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1991-09-01,1991-10-01,1993-09-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1991-09-01,1991-10-01,1996-09-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1991-09-01,1991-10-01,2001-09-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1991-09-01,1991-10-01,2021-09-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1991-10-01,1991-11-01,1993-10-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1991-10-01,1991-11-01,1996-10-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1991-10-01,1991-11-01,2001-10-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1991-10-01,1991-11-01,2021-10-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1991-11-01,1991-12-01,1993-11-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1991-11-01,1991-12-01,1996-11-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1991-11-01,1991-12-01,2001-11-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1991-11-01,1991-12-01,2021-11-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1991-12-01,1992-01-01,1993-12-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1991-12-01,1992-01-01,1996-12-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1991-12-01,1992-01-01,2001-12-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1991-12-01,1992-01-01,2021-12-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1992-01-01,1992-02-01,1994-01-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1992-01-01,1992-02-01,1997-01-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1992-01-01,1992-02-01,2002-01-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1992-01-01,1992-02-01,2022-01-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1992-02-01,1992-03-01,1994-02-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1992-02-01,1992-03-01,1997-02-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1992-02-01,1992-03-01,2002-02-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1992-02-01,1992-03-01,2022-02-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1992-03-01,1992-04-01,1994-03-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1992-03-01,1992-04-01,1997-03-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1992-03-01,1992-04-01,2002-03-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1992-03-01,1992-04-01,2022-03-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1992-04-01,1992-05-01,1994-04-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1992-04-01,1992-05-01,1997-04-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1992-04-01,1992-05-01,2002-04-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1992-04-01,1992-05-01,2022-04-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1992-05-01,1992-06-01,1994-05-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1992-05-01,1992-06-01,1997-05-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1992-05-01,1992-06-01,2002-05-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1992-05-01,1992-06-01,2022-05-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1992-06-01,1992-07-01,1994-06-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1992-06-01,1992-07-01,1997-06-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1992-06-01,1992-07-01,2002-06-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1992-06-01,1992-07-01,2022-06-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1992-07-01,1992-08-01,1994-07-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1992-07-01,1992-08-01,1997-07-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1992-07-01,1992-08-01,2002-07-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1992-07-01,1992-08-01,2022-07-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1992-08-01,1992-09-01,1994-08-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1992-08-01,1992-09-01,1997-08-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1992-08-01,1992-09-01,2002-08-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1992-08-01,1992-09-01,2022-08-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1992-09-01,1992-10-01,1994-09-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1992-09-01,1992-10-01,1997-09-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1992-09-01,1992-10-01,2002-09-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1992-09-01,1992-10-01,2022-09-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1992-10-01,1992-11-01,1994-10-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1992-10-01,1992-11-01,1997-10-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1992-10-01,1992-11-01,2002-10-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1992-10-01,1992-11-01,2022-10-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1992-11-01,1992-12-01,1994-11-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1992-11-01,1992-12-01,1997-11-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1992-11-01,1992-12-01,2002-11-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1992-11-01,1992-12-01,2022-11-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1992-12-01,1993-01-01,1994-12-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1992-12-01,1993-01-01,1997-12-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1992-12-01,1993-01-01,2002-12-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1992-12-01,1993-01-01,2022-12-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1993-01-01,1993-02-01,1995-01-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1993-01-01,1993-02-01,1998-01-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1993-01-01,1993-02-01,2003-01-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1993-01-01,1993-02-01,2023-01-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1993-02-01,1993-03-01,1995-02-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1993-02-01,1993-03-01,1998-02-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1993-02-01,1993-03-01,2003-02-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1993-02-01,1993-03-01,2023-02-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1993-03-01,1993-04-01,1995-03-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1993-03-01,1993-04-01,1998-03-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1993-03-01,1993-04-01,2003-03-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1993-03-01,1993-04-01,2023-03-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1993-04-01,1993-05-01,1995-04-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1993-04-01,1993-05-01,1998-04-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1993-04-01,1993-05-01,2003-04-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1993-04-01,1993-05-01,2023-04-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1993-05-01,1993-06-01,1995-05-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1993-05-01,1993-06-01,1998-05-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1993-05-01,1993-06-01,2003-05-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
